Company,Revenues,Profits,Employees,Sector,Industry
PCM,2193,3.1,4118,Wholesalers,Wholesalers: Electronics and Office Equipment
Federated Mutual Insurance,2181,217.6,2388,Financials,Insurance: Property and Casualty (Mutual)
HNI,2176,89.8,9350,Household Products,"Home Equipment, Furnishings"
Hospitality Properties Trust,2172,215.1,450,Financials,Real estate
Greenbrier Cos.,2169,116.1,11917,Transportation,Transportation Equipment
Bio-Rad Laboratories,2160,122.2,8150,Health Care,"Scientific,Photographic and  Control Equipment"
AvalonBay Communities,2159,876.9,3123,Financials,Real estate
Renewable Energy Group,2158,-79.1,853,Energy,Energy
Atlas Air Worldwide Holdings,2157,223.5,2870,Transportation,Transportation and Logistics
Teradata,2156,-67,10615,Technology,Information Technology Services
LCI Industries,2148,132.9,9852,Motor Vehicles & Parts,Motor Vehicles and Parts
Teleflex,2146,152.5,14400,Health Care,Medical Products and Equipment
Verisk Analytics,2145,555.1,7192,Business Services,Financial Data Services
Popular,2145,107.7,7784,Financials,Commercial Banks
Workday,2143,-321.2,8200,Technology,Computer Software
Cooper Cos.,2139,372.9,11800,Health Care,Medical Products and Equipment
Express,2138,19.4,9576,Retailing,Specialty Retailers: Apparel
Teradyne,2137,257.7,4500,Technology,Semiconductors and Other Electronic Components
Werner Enterprises,2117,202.9,12154,Transportation,"Trucking, Truck Leasing"
Oaktree Capital Group,2100,231.5,930,Financials,Securities
Woodward,2099,200.5,6829,Aerospace & Defense,Aerospace and Defense
F5 Networks,2090,420.8,4366,Technology,Network and Other Communications Equipment
Valvoline,2084,304,5600,Chemicals,Chemicals
Roadrunner Transportation Systems,2082,-106.7,4645,Transportation,"Trucking, Truck Leasing"
SemGroup,2082,-17.2,1220,Energy,Pipelines
Catalent,2075,109.8,10800,Health Care,Pharmaceuticals
Quorum Health,2072,-114.2,11250,Health Care,Health Care: Medical Facilities
Universal,2071,106.3,24000,"Food, Beverages & Tobacco",Tobacco
Nordson,2067,295.8,7532,Industrials,Industrial Machinery
ResMed,2067,342.3,6080,Health Care,Medical Products and Equipment
Tower International,2066,47.6,7600,Motor Vehicles & Parts,Motor Vehicles and Parts
Freds,2064,-140.3,7324,Food &  Drug Stores,Food and Drug Stores
Foundation Building Materials,2061,82.5,3782,Wholesalers,Wholesalers: Diversified
Kennametal,2058,49.1,10744,Industrials,Industrial Machinery
Autodesk,2057,-566.9,8800,Technology,Computer Software
Ply Gem Holdings,2056,68.3,9471,Materials,"Building Materials, Glass"
Central Garden & Pet,2055,78.8,4050,Household Products,Household and Personal Products
Matson,2047,232,1947,Transportation,Shipping
EchoStar,2039,392.6,2100,Technology,Network and Other Communications Equipment
Genesis Energy,2028,82.6,2100,Energy,Pipelines
SVB Financial Group,2022,490.5,2438,Financials,Commercial Banks
Itron,2018,57.3,7150,Industrials,"Electronics, Electrical Equip."
Portland General Electric,2009,187,2906,Energy,Utilities: Gas and Electric
California Resources,2006,-266,1450,Energy,"Mining, Crude-Oil Production"
Esterline Technologies,2005,111.6,13255,Aerospace & Defense,Aerospace and Defense
Delta Tucker Holdings,2004,30.6,8800,Aerospace & Defense,Aerospace and Defense
AMN Healthcare Services,1989,132.6,2980,Health Care,Health Care: Pharmacy and Other Services
Griffon,1986,14.9,4700,Materials,"Building Materials, Glass"
Valhi,1980,207.5,2790,Chemicals,Chemicals
Hexcel,1973,284,6259,Aerospace & Defense,Aerospace and Defense
IDEXX Laboratories,1969,263.1,7600,Health Care,Medical Products and Equipment
Deluxe,1966,230.2,5886,Media,"Publishing, Printing"
M/I Homes,1962,72.1,1238,Engineering & Construction,Homebuilders
Kraton,1960,97.5,1931,Chemicals,Chemicals
Stewart Information Services,1956,48.7,5960,Financials,Insurance: Property and Casualty (Stock)
Marriott Vacations Worldwide,1952,226.8,11000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
SPX FLOW,1952,46.4,7000,Industrials,Industrial Machinery
ACCO Brands,1949,131.7,6620,Household Products,"Home Equipment, Furnishings"
Echo Global Logistics,1943,12.6,2453,Transportation,Transportation and Logistics
Cadence Design Systems,1943,204.1,7214,Technology,Computer Software
Nuance Communications,1939,-151,11600,Technology,Computer Software
Finish Line,1934,-18.2,8200,Retailing,Specialty Retailers: Apparel
TransUnion,1934,441.2,5100,Business Services,Financial Data Services
ServiceNow,1933,-149.1,6222,Technology,Computer Software
Summit Materials,1933,121.8,6000,Materials,"Building Materials, Glass"
Engility Holdings,1932,-35.2,8700,Aerospace & Defense,Aerospace and Defense
Ferrellgas Partners,1930,-54.2,3891,Energy,Energy
Interactive Brokers Group,1927,76,1228,Financials,Securities
Stepan,1925,91.6,2096,Chemicals,Chemicals
Oceaneering International,1922,166.4,8200,Energy,"Oil and Gas Equipment, Services"
Cimarex Energy,1918,494.3,910,Energy,"Mining, Crude-Oil Production"
Rexnord,1918,74.1,8000,Industrials,Industrial Machinery
Beazer Homes USA,1916,31.8,1100,Engineering & Construction,Homebuilders
MKS Instruments,1916,339.1,4923,Technology,Semiconductors and Other Electronic Components
Vail Resorts,1907,210.6,20150,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Ohio National Mutual,1907,25.9,1300,Financials,"Insurance: Life, Health (stock)"
TopBuild,1906,158.1,8400,Engineering & Construction,"Engineering, Construction"
Brown & Brown,1881,399.6,8491,Financials,Insurance: Property and Casualty (Stock)
Aerojet Rocketdyne Holdings,1877,-9.2,5157,Aerospace & Defense,Aerospace and Defense
Barnes & Noble Education,1874,5.4,13375,Retailing,Specialty Retailers: Other
Superior Energy Services,1874,-205.9,6400,Energy,"Oil and Gas Equipment, Services"
VeriFone Systems,1871,-173.8,5600,Technology,Financial Data Services
Childrens Place,1870,84.7,9800,Retailing,Specialty Retailers: Apparel
Tribune Media,1867,194.1,6000,Media,Entertainment
Healthcare Services Group,1866,88.2,55000,Health Care,Health Care: Pharmacy and Other Services
SiteOne Landscape Supply,1862,54.6,3664,Wholesalers,Wholesalers: Diversified
Charles River Laboratories Intl,1858,123.4,11800,Health Care,Health Care: Pharmacy and Other Services
CoreLogic,1851,152.2,5900,Business Services,Financial Data Services
Ensign Group,1849,40.5,21301,Health Care,Health Care: Medical Facilities
HCP,1848,414.2,190,Financials,Real estate
